BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
00:27:e3:9d:8c:0b,,,,,WLAN60,1718103435129,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2A,20,,,5280,56,,-84,1.6,0
00:27:e3:9d:8c:0a,,,,,Carrefour_WiFi_Spot,1718103435142,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,No Security,[ESS],true,,,true,,,,,,U-NII-2A,20,,,5280,56,,-85,1.6,0
00:27:e3:9d:8c:0e,,,,PL-N138AP-08-13,,1718103435105,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-2A,20,,,5280,56,,-85,1.6,0
00:27:e3:9d:8c:0c,,,,PL-N138AP-08-13,,1718103435129,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2A,20,,,5280,56,,-86,1.6,0
08:26:97:cd:18:28,,,,,ZyXELCD1826_5G,1718103434787,MitraStar,VMG8924-B10A,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,,,,,,,,,U-NII-1,80,,,5180,36,,-64,,
00:27:e3:4d:7b:80,,,,,,1718103433806,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,2.4GHz,20,,,2437,6,,-42,71.4,1
68:3a:1e:83:39:3b,,,,,T-Mobile SKLEP,1718103434217,Cisco Meraki,,20,144.4,"[""N144"",""g54"",""b11""]","[2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,No Security,[ESS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-80,13.7,0
08:26:97:cd:18:27,,,,,ZyXELCD1826,1718103433651,MitraStar,VMG8924-B10A,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[18,24,36,54,6,9,12,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,,,,,,,,,2.4GHz,20,,,2427,4,,-66,,
70:ea:1a:45:be:fb,,,,,WLAN60,1718103434959,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-1,40,,,5220,44,,-75,5.9,2
70:ea:1a:45:be:fa,,,,,Carrefour_WiFi_Spot,1718103434950,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,No Security,[ESS],true,,,true,,,,,,U-NII-1,40,,,5220,44,,-76,5.9,2
00:27:e3:4d:7b:8a,,,,,Carrefour_WiFi_Spot,1718103434788,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,No Security,[ESS],true,,,true,,,,,,U-NII-1,40,,,5180,36,,-55,17.6,17
70:ea:1a:45:be:ff,,,,,,1718103434946,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-1,40,,,5220,44,,-75,5.9,2
00:27:e3:3e:0b:3c,,,,PL-N138AP-18-12,,1718103435345,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5500,100,,-70,13.7,28
00:27:e3:3e:0b:3b,,,,,WLAN60,1718103435340,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5500,100,,-72,13.7,28
00:27:e3:3e:0b:3e,,,,PL-N138AP-18-12,,1718103435321,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-2C,40,,,5500,100,,-72,13.7,28
